STATEFIP,DU_WeightedFrequency,StdErrWgtFreq,MOE_freq,DUpercent_prevalenceinSTATE,StdErrofRowPercent,MOE_percent,CV_Percent,Poordu_WeightedFrequency,Poordu_StdErrWgtFreq,Poordu_MOE_freq,Poordu_percent,Poordu_StdErrofRowPercent,Poordu_MOE_percent,Poordu_CV_Percent,White_DU_WeightedFrequency,White_StdErrWgtFreq,White_MOE_freq,White_percent,White_StdErrofRowPercent,White_MOE_percent,White_CV_Percent,AIAN_DU_WeightedFrequency,AIAN_StdErrWgtFreq,AIAN_MOE_freq,AIAN_percent,AIAN_StdErrofRowPercent,AIAN_MOE_percent,AIAN_CV_Percent,Black_DU_WeightedFrequency,Black_StdErrWgtFreq,Black_MOE_freq,Black_percent,Black_StdErrofRowPercent,Black_MOE_percent,Black_CV_Percent,Hispanic_DU_WeightedFrequency,Hispanic_StdErrWgtFreq,Hispanic_MOE_freq,Hispanic_percent,Hispanic_StdErrofRowPercent,Hispanic_MOE_percent,Hispanic_CV_Percent,Asian_DU_WeightedFrequency,Asian_StdErrWgtFreq,Asian_MOE_freq,Asian_percent,Asian_StdErrofRowPercent,Asian_MOE_percent,Asian_CV_Percent,Multi_DU_WeightedFrequency,Multi_StdErrWgtFreq,Multi_MOE_freq,Multi_percent,Multi_StdErrofRowPercent,Multi_MOE_percent,Multi_CV_Percent,Other_DU_WeightedFrequency,Other_StdErrWgtFreq,Other_MOE_freq,Other_percent,Other_StdErrofRowPercent,Other_MOE_percent,Other_CV_Percent,STATEFIP,NHOPI_DU_WeightedFrequency,NHOPI_StdErrWgtFreq,NHOPI_MOE_freq,NHOPI_percent,NHOPI_StdErrofRowPercent,NHOPI_MOE_percent,NHOPI_CV_Percent
24,55657,2915,4795.175,0.9207,0.0461,0.0758345,0.0501,55657,2915,4795.175,7.9415,0.3607,0.5933515,0.0454,12655,1152,1895.04,0.4212,0.0382,0.062839,0.0907,193,118.67182,195.2151439,0.8775,0.5365,0.8825425,0.6114,24277,1819,2992.255,1.3703,0.0987,0.1623615,0.0721,15388,1596,2625.42,2.087,0.2027,0.3334415,0.0971,2754,511.7068,841.757686,0.703,0.1301,0.2140145,0.1851,5921,1037,1705.865,1.3149,0.2232,0.367164,0.1697,9837,1200,1974,2.4428,0.2824,0.464548,0.1156,24,20,0,0,1.1541,0.085,0.139825,0.0736
25,45023,2551,4196.395,0.6661,0.0364,0.059878,0.0546,45023,2543,4183.235,5.2574,0.2654,0.436583,0.0505,16054,1268,2085.86,0.3347,0.0261,0.0429345,0.0779,261,101.40513,166.8114389,1.6328,0.6239,1.0263155,0.3821,7043,1020,1677.9,1.5047,0.2095,0.3446275,0.1392,18103,1751,2880.395,2.0564,0.1866,0.306957,0.0907,4391,553.62476,910.7127302,0.9325,0.117,0.192465,0.1254,9201,1194,1964.13,1.4524,0.1767,0.2906715,0.1216,8027,1010,1661.45,2.1584,0.2597,0.4272065,0.1203,25,46,22.2036,36.524922,2.2115,1.0872,1.788444,0.4916
26,81125,3473,5713.085,0.8247,0.0345,0.0567525,0.0418,81125,3471,5709.795,6.2229,0.2412,0.396774,0.0388,36110,1887,3104.115,0.4894,0.0252,0.041454,0.0515,951,337.90574,555.8549423,2.1048,0.7341,1.2075945,0.3488,30367,2310,3799.95,2.3446,0.169,0.278005,0.0721,8165,1014,1668.03,1.4451,0.1771,0.2913295,0.1226,1558,283.75033,466.7692929,0.4861,0.089,0.146405,0.183,8871,1135,1867.075,1.4267,0.181,0.297745,0.1269,3211,640.98613,1054.422184,1.8528,0.3629,0.5969705,0.1959,26,57,32.24903,53.04965435,2.695,1.5204,2.501058,0.5641
27,25050,2240,3684.8,0.4493,0.0395,0.0649775,0.0878,25050,2240,3684.8,4.7552,0.3978,0.654381,0.0837,8629,1087,1788.115,0.1976,0.0248,0.040796,0.1253,1452,354.60725,583.3289263,3.0181,0.6848,1.126496,0.2269,7142,1316,2164.82,1.9563,0.3513,0.5778885,0.1796,3273,696.31802,1145.443143,0.9415,0.1978,0.325381,0.2101,3291,721.35429,1186.627807,1.1534,0.2461,0.4048345,0.2134,2702,666.09324,1095.72338,0.7596,0.1867,0.3071215,0.2458,1819,546.61327,899.1788292,1.1911,0.3509,0.5772305,0.2946,27,15,15,24.675,0.6361,0.6342,1.043259,0.9969
28,50677,2763,4545.135,1.7736,0.0868,0.142786,0.049,50677,2763,4545.135,9.3203,0.4027,0.6624415,0.0432,14836,1237,2034.865,0.9169,0.0749,0.1232105,0.0816,370,127.29624,209.4023148,3.089,1.0584,1.741068,0.3426,32508,2197,3614.065,3.1103,0.1884,0.309918,0.0606,2032,457.4316,752.474982,1.9923,0.4388,0.721826,0.2203,111,59.85817,98.46668965,0.3983,0.2104,0.346108,0.5281,1489,322.04917,529.7708847,1.3984,0.2961,0.4870845,0.2117,1363,356.66604,586.7156358,2.9218,0.7333,1.2062785,0.251,28,.,.,.,.,.,.,.
29,41894,2294,3773.63,0.6979,0.0371,0.0610295,0.0532,41894,2294,3773.63,5.7242,0.2858,0.470141,0.0499,27538,1805,2969.225,0.5844,0.0372,0.061194,0.0637,179,93.56192,153.9093584,1.0359,0.5385,0.8858325,0.5199,8888,1165,1916.425,1.3465,0.1674,0.275373,0.1243,3659,642.24515,1056.493272,1.2023,0.2113,0.3475885,0.1758,779,229.06671,376.814738,0.6247,0.1834,0.301693,0.2936,3299,495.3442,814.841209,0.8777,0.1281,0.2107245,0.146,1203,436.04485,717.2937783,1.1608,0.4213,0.6930385,0.363,29,8,6.32456,10.4039012,0.089,0.0709,0.1166305,0.7966
30,8049,1045,1719.025,0.7482,0.0939,0.1544655,0.1255,8049,1045,1719.025,6.3162,0.7272,1.196244,0.1151,4139,882.7712,1452.158624,0.4484,0.0968,0.159236,0.2158,3150,832.37492,1369.256743,5.2504,1.2529,2.0610205,0.2386,.,.,.,.,.,.,.,447,193.86593,318.9094549,0.9542,0.4303,0.7078435,0.451,.,.,#VALUE!,.,.,#VALUE!,.,451,160.7638,264.456451,0.6912,0.2332,0.383614,0.3374,309,149.3151,245.6233395,2.3872,1.1291,1.8573695,0.473,30,.,.,.,.,.,.,.
31,10066,1550,2549.75,0.5249,0.0727,0.1195915,0.1384,10066,1550,2549.75,5.2136,0.6536,1.075172,0.1254,5094,819.52425,1348.117391,0.3328,0.0492,0.080934,0.1479,249,106.5054,175.201383,1.3186,0.4854,0.798483,0.3681,1439,523.64053,861.3886719,1.648,0.5372,0.883694,0.326,3254,1093,1797.985,1.3688,0.4345,0.7147525,0.3175,828,423.43406,696.5490287,1.7682,0.8459,1.3915055,0.4784,1551,774.27398,1273.680697,1.018,0.4905,0.8068725,0.4818,905,365.09697,600.5845157,1.1179,0.427,0.702415,0.382,31,.,.,.,.,.,.,.
32,39201,2615,4301.675,1.2625,0.0725,0.1192625,0.0574,39201,2615,4301.675,8.3801,0.4196,0.690242,0.0501,12718,1302,2141.79,0.7712,0.0736,0.121072,0.0955,1047,236.9156,389.726162,2.5699,0.5463,0.8986635,0.2126,6762,1020,1677.9,2.349,0.3257,0.5357765,0.1387,16046,1503,2472.435,1.7638,0.1438,0.236551,0.0815,3833,651.40847,1071.566933,1.4135,0.2289,0.3765405,0.1619,7061,876.41219,1441.698053,1.5086,0.1701,0.2798145,0.1127,7391,991.4987,1631.015362,2.0139,0.2531,0.4163495,0.1257,32,389,150.84981,248.1479375,1.899,0.7535,1.2395075,0.3968
33,6143,627.9992,1033.058684,0.4561,0.0429,0.0705705,0.0941,6143,627.9992,1033.058684,5.5339,0.5709,0.9391305,0.1032,5240,563.5956,927.114762,0.4372,0.045,0.074025,0.1028,.,.,.,.,.,.,.,22,21.0238,34.584151,0.1162,0.1123,0.1847335,0.9667,775,328.61376,540.5696352,1.2878,0.5455,0.8973475,0.4236,178,82.06095,134.9902628,0.5127,0.2285,0.3758825,0.4456,383,129.61867,213.2227122,0.5107,0.1641,0.2699445,0.3213,313,228.217,375.416965,1.8161,1.2165,2.0011425,0.6698,33,7,7,11.515,1.1438,1.1675,1.9205375,1.0207
