State,State_Abbr,State_Abbreviation,State_FIPS,DU_WeightedFrequency,MOE_freq,DUpercent_prevalenceinSTATE,MOE_percent,CV_Percent,Poordu_WeightedFrequency,Poordu_MOE_freq,Poordu_percent,Poordu_MOE_percent,Poordu_CV_Percent,White_DU_WeightedFrequency,White_MOE_freq,White_percent,White_MOE_percent,White_CV_Percent,AIAN_DU_WeightedFrequency,AIAN_MOE_freq,AIAN_percent,AIAN_MOE_percent,AIAN_CV_Percent,Black_DU_WeightedFrequency,Black_MOE_freq,Black_percent,Black_MOE_percent,Black_CV_Percent,Hispanic_DU_WeightedFrequency,Hispanic_MOE_freq,Hispanic_percent,Hispanic_MOE_percent,Hispanic_CV_Percent,Asian_DU_WeightedFrequency,Asian_MOE_freq,Asian_percent,Asian_MOE_percent,Asian_CV_Percent,Multi_DU_WeightedFrequency,Multi_MOE_freq,Multi_percent,Multi_MOE_percent,Multi_CV_Percent,Other_DU_WeightedFrequency,Other_MOE_freq,Other_percent,Other_MOE_percent,Other_CV_Percent,NHOPI_DU_WeightedFrequency,NHOPI_MOE_freq,NHOPI_percent,NHOPI_MOE_percent,NHOPI_CV_Percent,State_Name,White_Poordu_WeightedFrequency,White_Poordu_MOE_freq,White_Poordu_percent,White_Poordu_MOE_percent,White_Poordu_CV_Percent,Black_Poordu_WeightedFrequency,Black_Poordu_MOE_freq,Black_Poordu_percent,Black_Poordu_MOE_percent,Black_Poordu_CV_Percent,AIAN_Poordu_WeightedFrequency,AIAN_Poordu_MOE_freq,AIAN_Poordu_percent,AIAN_Poordu_MOE_percent,AIAN_Poordu_CV_Percent,Asian_Poordu_WeightedFrequency,Asian_Poordu_MOE_freq,Asian_Poordu_percent,Asian_Poordu_MOE_percent,Asian_Poordu_CV_Percent,NHOPI_Poordu_WeightedFrequency,NHOPI_Poordu_MOE_freq,NHOPI_Poordu_percent,NHOPI_Poordu_MOE_percent,NHOPI_Poordu_CV_Percent,Other_Poordu_WeightedFrequency,Other_Poordu_MOE_freq,Other_Poordu_percent,Other_Poordu_MOE_percent,Other_Poordu_CV_Percent,Multi_Poordu_WeightedFrequency,Multi_Poordu_MOE_freq,Multi_Poordu_percent,Multi_Poordu_MOE_percent,Multi_Poordu_CV_Percent,Hisp_Poordu_WeightedFrequency,Hisp_Poordu_MOE_freq,Hisp_Poordu_percent,Hisp_Poordu_MOE_percent,Hisp_Poordu_CV_Percent,White_Flag,White_Category,Black_Flag,Black_Category,AIAN_Flag,AIAN_Category,Asian_Flag,Asian_Category,NHOPI_Flag,NHOPI_Category,Hispanic_Flag,Hispanic_Category,Other_Flag,Other_Category,Multi_Flag,Multi_Category,Poor_Flag,Poor_Category,White_Poor_Flag,Black_Poor_Flag,AIAN_Poor_Flag,Asian_Poor_Flag,NHOPI_Poor_Flag,Hispanic_Poor_Flag,Other_Poor_Flag,Multi_Poor_Flag,stusps,Geometry_WKT
Maryland,MD,MD,24,55657,4795.175,0.9207,0.08,0.0501,55657,4795.175,7.94,0.59,0.0454,12655,1895.04,0.42,0.06,0.0907,193.0,195.2151439,0.88,0.88,0.6114,24277.0,2992.255,1.37,0.16,0.0721,15388,2625.42,2.09,0.33,0.0971,2754.0,841.757686,0.7,0.21,0.1851,5921,1705.865,1.31,0.37,0.1697,9837,1974.0,2.44,0.46,0.1156,20.0,0,1.15,0.14,0.0736,Maryland,12655.0,1895.04,5.64,0.78,0.0844,24277.0,2984.03,8.48,0.91,0.0649,193.0,193.2017297,5.21,5.05,0.5893,2754.0,826.2626908,6.14,1.75,0.1729,20.0,0.0,14.08,2.28,0.0986,9837.0,1941.1,11.53,2.0,0.1056,5921.0,1694.35,10.57,2.67,0.1533,15388.0,2612.26,11.76,1.76,0.0908,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,MD,"POLYGON ((16.06 3.532999999976204, 16.06 4.55599999996833, 16.990000000000002 5.113999999964052, 17.92 4.555999999968331, 17.919999999999995 3.5329999999762025, 16.990000000000006 2.9749999999805117, 16.06 3.532999999976204))"
Massachusetts,MA,MA,25,45023,4196.395,0.6661,0.06,0.0546,45023,4183.235,5.26,0.44,0.0505,16054,2085.86,0.33,0.04,0.0779,261.0,166.8114389,1.63,1.03,0.3821,7043.0,1677.9,1.5,0.34,0.1392,18103,2880.395,2.06,0.31,0.0907,4391.0,910.7127302,0.93,0.19,0.1254,9201,1964.13,1.45,0.29,0.1216,8027,1661.45,2.16,0.43,0.1203,46.0,36.524922,2.21,1.79,0.4916,Massachusetts,16054.0,2082.57,3.54,0.43,0.0743,7043.0,1669.675,6.89,1.48,0.1306,261.0,163.8984729,7.13,4.15,0.3535,4391.0,905.2738174,6.42,1.21,0.1148,46.0,21.385,7.72,3.92,0.3084,8027.0,1643.888638,8.41,1.51,0.1094,9201.0,1946.035,6.93,1.25,0.11,18103.0,2863.945,7.77,1.08,0.0847,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,MA,"POLYGON ((20.05999999999999 6.932999999950213, 20.06 7.955999999942516, 20.99 8.513999999938356, 21.919999999999995 7.955999999942516, 21.92 6.932999999950213, 20.99 6.374999999954441, 20.05999999999999 6.932999999950213))"
Michigan,MI,MI,26,81125,5713.085,0.8247,0.06,0.0418,81125,5709.795,6.22,0.4,0.0388,36110,3104.115,0.49,0.04,0.0515,951.0,555.8549423,2.1,1.21,0.3488,30367.0,3799.95,2.34,0.28,0.0721,8165,1668.03,1.45,0.29,0.1226,1558.0,466.7692929,0.49,0.15,0.183,8871,1867.075,1.43,0.3,0.1269,3211,1054.422184,1.85,0.6,0.1959,57.0,53.04965435,2.7,2.5,0.5641,Michigan,36110.0,3099.18,4.71,0.37,0.0483,30367.0,3791.725,8.64,0.96,0.0672,951.0,540.5785018,10.85,5.79,0.3243,1558.0,455.4757592,4.29,1.22,0.1734,57.0,0.0,21.27,0.0,0.0,3211.0,1040.611307,9.37,2.74,0.1776,8871.0,1847.335,8.38,1.64,0.1193,8165.0,1649.935,7.77,1.48,0.116,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,MI,"POLYGON ((14.059999999999995 7.966999999942433, 14.989999999999998 8.524999999938268, 15.919999999999998 7.966999999942433, 15.920000000000002 6.943999999950129, 14.989999999999995 6.385999999954356, 14.060000000000002 6.94399999995013, 14.059999999999995 7.966999999942433))"
Minnesota,MN,MN,27,25050,3684.8,0.4493,0.06,0.0878,25050,3684.8,4.76,0.65,0.0837,8629,1788.115,0.2,0.04,0.1253,1452.0,583.3289263,3.02,1.13,0.2269,7142.0,2164.82,1.96,0.58,0.1796,3273,1145.443143,0.94,0.33,0.2101,3291.0,1186.627807,1.15,0.4,0.2134,2702,1095.72338,0.76,0.31,0.2458,1819,899.1788292,1.19,0.58,0.2946,15.0,24.675,0.64,1.04,0.9969,Minnesota,8629.0,1786.47,2.9,0.58,0.1209,7142.0,2141.79,6.88,1.99,0.1754,1452.0,576.0156182,10.38,3.72,0.2181,3291.0,1155.778661,8.99,3.28,0.2222,15.0,24.675,11.54,14.16,0.7462,1819.0,869.1005964,6.6,3.0,0.2761,2702.0,1082.448937,5.78,2.26,0.238,3273.0,1113.843532,5.82,1.87,0.1953,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,MN,"POLYGON ((8.059999999999997 6.932999999950211, 8.059999999999999 7.955999999942516, 8.989999999999998 8.513999999938353, 9.919999999999995 7.955999999942516, 9.92 6.932999999950213, 8.989999999999998 6.374999999954439, 8.059999999999997 6.932999999950211))"
Mississippi,MS,MS,28,50677,4545.135,1.7736,0.14,0.049,50677,4545.135,9.32,0.66,0.0432,14836,2034.865,0.92,0.12,0.0816,370.0,209.4023148,3.09,1.74,0.3426,32508.0,3614.065,3.11,0.31,0.0606,2032,752.474982,1.99,0.72,0.2203,111.0,98.46668965,0.4,0.35,0.5281,1489,529.7708847,1.4,0.49,0.2117,1363,586.7156358,2.92,1.21,0.251,0.0,.,0.0,0.0,.,Mississippi,14836.0,2034.865,7.97,0.99,0.0757,32508.0,3614.065,10.28,0.9,0.053,370.0,209.1889912,12.27,7.24,0.3589,111.0,97.84639305,3.01,2.67,0.539,0.0,0.0,0.0,0.0,0.0,1363.0,580.0291221,11.08,4.07,0.2236,1489.0,522.221223,6.7,2.27,0.206,2032.0,748.5228366,7.94,2.7,0.2066,1,White,1,Black,1,AIAN,1,Asian,0,Not NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,0,1,1,1,MS,"POLYGON ((12.059999999999997 1.1669999999945189, 12.989999999999998 1.724999999990189, 13.920000000000002 1.1669999999945189, 13.920000000000002 0.1440000000024578, 12.990000000000002 -0.413999999993212, 12.059999999999997 0.1440000000024578, 12.059999999999997 1.1669999999945189))"
Missouri,MO,MO,29,41894,3773.63,0.6979,0.06,0.0532,41894,3773.63,5.72,0.47,0.0499,27538,2969.225,0.58,0.06,0.0637,179.0,153.9093584,1.04,0.89,0.5199,8888.0,1916.425,1.35,0.28,0.1243,3659,1056.493272,1.2,0.35,0.1758,779.0,376.814738,0.62,0.3,0.2936,3299,814.841209,0.88,0.21,0.146,1203,717.2937783,1.16,0.69,0.363,8.0,10.4039012,0.09,0.12,0.7966,Missouri,27538.0,2969.225,5.78,0.57,0.0602,8888.0,1878.59,5.64,1.05,0.1137,179.0,56.31573605,5.49,1.82,0.2019,779.0,370.8164758,5.35,2.48,0.2814,8.0,9.87,0.81,1.05,0.7868,1203.0,715.8600621,6.34,3.63,0.3484,3299.0,810.5198763,5.51,1.25,0.1382,3659.0,1050.965562,6.7,1.8,0.1629,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,MO,"POLYGON ((10.059999999999997 4.566999999968247, 10.989999999999998 5.124999999963966, 11.919999999999998 4.566999999968245, 11.92 3.543999999976119, 10.99 2.985999999980427, 10.06 3.543999999976119, 10.059999999999997 4.566999999968247))"
Montana,MT,MT,30,8049,1719.025,0.7482,0.15,0.1255,8049,1719.025,6.32,1.2,0.1151,4139,1452.158624,0.45,0.16,0.2158,3150.0,1369.256743,5.25,2.06,0.2386,0.0,.,0.0,0.0,.,447,318.9094549,0.95,0.71,0.451,0.0,#VALUE!,0.0,0.0,.,451,264.456451,0.69,0.38,0.3374,309,245.6233395,2.39,1.86,0.473,0.0,.,0.0,0.0,.,Montana,4139.0,1452.158624,4.53,1.48,0.1991,0.0,0.0,0.0,0.0,0.0,3150.0,1365.391619,14.7,5.08,0.2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,245.6233395,15.37,10.35,0.4091,451.0,264.456451,4.29,2.25,0.3186,447.0,318.9094549,5.29,3.72,0.4275,1,White,0,Not Black,1,AIAN,0,Not Asian,0,Not NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,0,1,0,0,1,1,1,MT,"POLYGON ((4.06 6.932999999950213, 4.06 7.955999999942515, 4.989999999999997 8.513999999938353, 5.92 7.955999999942516, 5.919999999999999 6.932999999950213, 4.99 6.37499999995444, 4.06 6.932999999950213))"
Nebraska,NE,NE,31,10066,2549.75,0.5249,0.12,0.1384,10066,2549.75,5.21,1.08,0.1254,5094,1348.117391,0.33,0.08,0.1479,249.0,175.201383,1.32,0.8,0.3681,1439.0,861.3886719,1.65,0.88,0.326,3254,1797.985,1.37,0.71,0.3175,828.0,696.5490287,1.77,1.39,0.4784,1551,1273.680697,1.02,0.81,0.4818,905,600.5845157,1.12,0.7,0.382,0.0,.,0.0,0.0,.,Nebraska,5094.0,1348.117391,3.93,0.94,0.1452,1439.0,861.2114725,7.02,3.27,0.2837,249.0,174.3963858,9.02,5.37,0.3619,828.0,696.5490287,13.78,9.44,0.4167,0.0,0.0,0.0,0.0,0.0,905.0,593.6446226,7.69,4.39,0.3468,1551.0,1263.735109,6.97,5.2,0.4533,3254.0,1796.34,8.51,4.02,0.287,1,White,1,Black,1,AIAN,1,Asian,0,Not NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,0,1,1,1,NE,"POLYGON ((8.059999999999999 3.532999999976204, 8.06 4.555999999968331, 8.989999999999998 5.11399999996405, 9.919999999999996 4.555999999968331, 9.92 3.532999999976204, 8.989999999999997 2.9749999999805112, 8.059999999999999 3.532999999976204))"
Nevada,NV,NV,32,39201,4301.675,1.2625,0.12,0.0574,39201,4301.675,8.38,0.69,0.0501,12718,2141.79,0.77,0.12,0.0955,1047.0,389.726162,2.57,0.9,0.2126,6762.0,1677.9,2.35,0.54,0.1387,16046,2472.435,1.76,0.24,0.0815,3833.0,1071.566933,1.41,0.38,0.1619,7061,1441.698053,1.51,0.28,0.1127,7391,1631.015362,2.01,0.42,0.1257,389.0,248.1479375,1.9,1.24,0.3968,Nevada,12718.0,2141.79,6.36,0.94,0.0896,6762.0,1677.9,9.41,2.04,0.1316,1047.0,385.9830468,14.13,4.17,0.1794,3833.0,1070.939431,11.57,2.52,0.1324,389.0,230.102123,11.77,6.99,0.3611,7391.0,1624.754821,9.95,1.78,0.109,7061.0,1440.619837,9.09,1.59,0.1061,16046.0,2469.145,9.47,1.09,0.0699,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,NV,"POLYGON ((4.059999999999999 4.566999999968244, 4.989999999999999 5.124999999963967, 5.919999999999999 4.566999999968245, 5.919999999999999 3.5439999999761187, 4.99 2.985999999980427, 4.06 3.543999999976119, 4.059999999999999 4.566999999968244))"
New Hampshire,NH,NH,33,6143,1033.058684,0.4561,0.07,0.0941,6143,1033.058684,5.53,0.94,0.1032,5240,927.114762,0.44,0.07,0.1028,0.0,.,0.0,0.0,.,22.0,34.584151,0.12,0.18,0.9667,775,540.5696352,1.29,0.9,0.4236,178.0,134.9902628,0.51,0.38,0.4456,383,213.2227122,0.51,0.27,0.3213,313,375.416965,1.82,2.0,0.6698,7.0,11.515,1.14,1.92,1.0207,New Hampshire,5240.0,927.114762,5.55,0.97,0.1063,22.0,34.584151,0.71,1.14,0.9771,0.0,0.0,0.0,0.0,0.0,178.0,134.9902628,6.48,4.5,0.4224,7.0,0.0,23.33,0.0,0.0,313.0,375.3232494,14.46,16.58,0.6973,383.0,213.2227122,4.61,2.26,0.2986,775.0,540.5696352,7.78,4.86,0.3802,1,White,1,Black,0,Not AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,0,1,1,1,1,1,NH,"POLYGON ((21.06 8.632999999937468, 21.06 9.6559999999299, 21.99 10.213999999925818, 22.919999999999995 9.6559999999299, 22.919999999999995 8.632999999937468, 21.99 8.074999999941628, 21.06 8.632999999937468))"
New Jersey,NJ,NJ,34,79889,5162.01,0.8785,0.05,0.0377,79889,5153.785,6.95,0.39,0.0339,21572,2722.475,0.42,0.05,0.0751,975.0,458.2025112,2.5,1.15,0.2798,20603.0,2567.845,1.79,0.21,0.072,36129,3436.405,1.8,0.16,0.0548,4444.0,864.4188277,0.49,0.09,0.1169,12149,1942.745,1.25,0.19,0.093,20141,2630.355,2.4,0.3,0.0752,5.0,8.225,0.22,0.37,1.0104,New Jersey,21572.0,2719.185,4.54,0.52,0.0696,20603.0,2559.62,8.76,1.0,0.0692,975.0,420.6868386,9.62,3.69,0.2333,4444.0,834.6210509,6.1,1.07,0.1063,5.0,0.0,1.93,0.0,0.0,20141.0,2600.745,10.26,1.16,0.0685,12149.0,1924.65,7.62,1.05,0.0841,36129.0,3413.375,8.53,0.7,0.0498,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,NJ,"POLYGON ((19.06 5.23299999996314, 19.06 6.255999999955341, 19.98999999999999 6.813999999951115, 20.92 6.255999999955343, 20.919999999999995 5.23299999996314, 19.99 4.674999999967418, 19.06 5.23299999996314))"
New Mexico,NM,NM,35,36346,4918.55,1.7543,0.2,0.07,36346,4918.55,9.82,0.97,0.0598,9378,1949.325,0.85,0.15,0.1066,10780.0,1950.97,5.49,0.82,0.0907,1079.0,515.1608501,2.57,1.14,0.2705,19870,3571.295,1.99,0.32,0.0985,532.0,458.7810413,1.56,1.33,0.5207,8718,2599.1,1.99,0.56,0.172,5828,1697.64,2.25,0.62,0.1669,31.0,50.995,1.54,2.48,0.9809,New Mexico,9378.0,1949.325,6.14,0.96,0.0952,1079.0,498.9188603,11.87,4.98,0.2551,10780.0,1944.39,19.09,2.69,0.0855,532.0,458.7810413,12.35,9.56,0.4707,31.0,0.0,5.34,0.0,0.0,5828.0,1697.64,9.58,2.32,0.1469,8718.0,2599.1,10.13,2.53,0.152,19870.0,3571.295,9.53,1.37,0.0871,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,NM,"POLYGON ((6.059999999999999 0.1330000000025432, 6.059999999999999 1.1559999999946042, 6.989999999999998 1.713999999990275, 7.92 1.155999999994604, 7.919999999999996 0.1330000000025431, 6.990000000000001 -0.4249999999931264, 6.059999999999999 0.1330000000025432))"
New York,NY,NY,36,270297,10330.6,1.4024,0.05,0.0223,270297,10286.185,8.39,0.28,0.0201,64785,4559.94,0.59,0.04,0.0423,2833.0,830.70248,2.8,0.8,0.1739,64494.0,4875.78,2.33,0.17,0.0442,112507,7198.52,2.96,0.18,0.0369,38523.0,3444.63,2.25,0.19,0.0519,30001,3072.86,1.7,0.17,0.0607,69013,5393.955,3.64,0.27,0.0453,635.0,362.6680999,7.67,4.27,0.338,New York,64785.0,4543.49,5.08,0.33,0.0399,64494.0,4841.235,9.81,0.65,0.0401,2833.0,811.6972686,11.19,2.87,0.1558,38523.0,3410.085,10.49,0.81,0.0468,635.0,193.0452573,30.41,9.98,0.1995,69013.0,5308.415,12.79,0.84,0.0398,30001.0,3023.51,8.54,0.78,0.0559,112507.0,7122.85,11.59,0.63,0.033,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,NY,"POLYGON ((18.06 6.932999999950213, 18.06 7.955999999942516, 18.99 8.513999999938349, 19.919999999999998 7.955999999942516, 19.91999999999999 6.932999999950213, 18.99 6.374999999954439, 18.06 6.932999999950213))"
North Carolina,NC,NC,37,98557,5867.715,0.9564,0.05,0.0349,98557,5864.425,6.87,0.37,0.0324,37430,3342.64,0.57,0.05,0.0531,2410.0,527.8029054,2.23,0.47,0.1288,38116.0,3582.81,1.82,0.16,0.0551,19318,2428.02,1.7,0.21,0.0747,1528.0,497.0380825,0.47,0.15,0.1973,9022,1694.35,1.22,0.23,0.1127,10004,1714.09,2.01,0.33,0.1005,47.0,18.095,0.87,0.35,0.2461,North Carolina,37430.0,3340.995,5.75,0.47,0.0495,38116.0,3574.585,8.27,0.71,0.0522,2410.0,519.8717846,9.3,1.87,0.1221,1528.0,459.2208156,4.78,1.41,0.1799,47.0,0.0,8.26,0.14,0.0105,10004.0,1686.125,7.76,1.19,0.0933,9022.0,1682.835,6.62,1.17,0.1077,19318.0,2395.12,7.09,0.82,0.0704,1,White,1,Black,1,AIAN,1,Asian,1,NHOPI,1,Hispanic,1,Other,1,Multi,1,Poor,1,1,1,1,1,1,1,1,NC,"POLYGON ((17.060000000000006 1.8329999999893527, 17.060000000000006 2.8559999999814307, 17.989999999999995 3.4139999999771216, 18.920000000000005 2.8559999999814307, 18.92 1.8329999999893525, 17.99 1.2749999999936814, 17.060000000000006 1.8329999999893527))"
